Text,Etiqueta
ir violar feo,Violento
sacar peor,Violento
si volver contestar sal noticia,Violento
cuidar ir encontrar aguante,Violento
des mano calle pelo pensar ligue tio,Violento
madre,Violento
trabajo ir poder hacer ahora ser mama,Violento
ir hacer ahora currir si ir tener hijo,Violento
nino necesitar madre quedar casa,Violento
caracter ninguno hombre ir querer,Violento
salir puerta dejar,Violento
debistir ir solo calle,Violento
querer provocar hablar x saber ex,Violento
mia acerques,Violento
pasar gustar mirar,Violento
tener maquillar arreglar mas,Violento
si mujer casa saber cocinar,Violento
loco,Violento
psiquiatra,Violento
ir creer nadie,Violento
quedar favor necesitar,Violento
bien,Violento
saber nadie ir querer,Violento
solo hacer si,Violento
ahora casado venir mas relajaditar trabajo,Violento
callatar hablar si puro idea,Violento
pensar salir calle vestido asi,Violento
buff sensible hoyte venir regla,Violento
suerte marido sacar nino parque,Violento
nadie querer,Violento
desgraciado veter puta ciudad,Violento
desear peor resto vida aceptar,Violento
poner falda quedar,Violento
salir rana pareja menos dos hij,Violento
chica,Violento
loco,Violento
inutil,Violento
llevar ropa ir provocar,Violento
parecer puta vestido asi,Violento
hablar,Violento
dejamer ver telefono,Violento
dejar hacer locura,Violento
volver hacer cambiar prometer jama volver ocurrir,Violento
oír novio pegar,Violento
celoso novio poder entrartir,Violento
nunca poder dar dar ex,Violento
deporte mujer,Violento
opinar pareja,Violento
casa mujer necesitar hombre,Violento
poder ir solo,Violento
tomar serio mejor reunion ir,Violento
fraude,Violento
seguir asi acabar solo amargado merizar,Violento
mas docil tio asustar,Violento
querer tener relacion serio mujer pasar ano volver loco querer dejar,Violento
visto hombre levantar recoger mesa,Violento
fregar cosa mujer,Violento
callate bonito puta idea,Violento
si deprimido puto problema,Violento
asqueroso negro,Violento
dar asco,Violento
ir quedar solo,Violento
femenino,Violento
llegado cuerpo,Violento
si nadie,Violento
entero,Violento
vez entender,Violento
saber,Violento
sacar casilla,Violento
querer enfadir,Violento
provocar,Violento
seguir asi,Violento
importar mierda oír nino,Violento
culpa,Violento
ir encontrar,Violento
histerica,Violento
si llegar punto culpa,Violento
pintate palido,Violento
pintes,Violento
arreglar,Violento
si separar tampoco hijo,Violento
ur amiga poder entrar casa tambien mia,Violento
ser chica jugar mal,Violento
salir amigo,Violento
ultimamente arreglar,Violento
indigno,Violento
poder decir,Violento
querer saber foto,Violento
demasiado simpatico cononecer hombre q buscar mas serio distante,Violento
saber decir acabar hacer querer,Violento
nadie,Violento
si dejar mato,Violento
mir ser nadie,Violento
casa nino deber,Violento
convertido senoro,Violento
cabeza parte peinarte,Violento
menudo mierda respuesta,Violento
asi paso,Violento
hacer bien,Violento
manipular realidad,Violento
importar mundo si importar,Violento
deberir ir psicologo,Violento
necesitar amor,Violento
aguantaste,Violento
si hacer querer,Violento
servir,Violento
exagerado,Violento
ver hacer quedar ex,Violento
harias,Violento
ir querer si,Violento
si alguno dar dejar seguro terminar moro,Violento
histerica,Violento
violento sacar peor,Violento
si dejar ir quedar solo solo ir querer follar,Violento
nadie ir querer,Violento
si querer hablar gente gustar,Violento
ansiedad culpa,Violento
querer hacerloesar querer,Violento
mirar gustar provocar eh,Violento
ir ir asi,Violento
ser asi nadie ir querer,Violento
exagerado,Violento
calladito mas bonito,Violento
basura,Violento
ir encontrar nadie querer,Violento
cambiar conocer ahora egoista,Violento
cabeza,Violento
mentira controlador,Violento
hacer lucha,Violento
crear ansiedad serio,Violento
tener quitar culpa,Violento
impoluto solemne gilipolla,Violento
impoluto solemne gilipolla,Violento
esque querer,Violento
hacer feliz,Violento
necesitar hacer ahora,Violento
pensar mas necesidad,Violento
pues si querer ser mejor ir casa,Violento
serio increible suicidarse él,Violento
siempre joderlar,Violento
hacer bien,Violento
perra hacer decir,Violento
deberir conformar querer ver,Violento
si hacer decir querer,Violento
saber sacar peor,Violento
desastre totalno servir absolutamente,Violento
malo madre malo esposa malo hijamal nuera,Violento
querer,Violento
amar,Violento
perdon,Violento
chupamela aunque,Violento
loco deberir ir psiquiatra si feliz,Violento
nunca apetecer follar querer,Violento
ir arreglar,Violento
hablar jefe hacer oficina,Violento
gustar saber foto cara bikini,Violento
cambiar,Violento
molestar,Violento
ir querer cara,Violento
ir quitar ser querer,Violento
arruinar vida,Violento
odio,Violento
aborrecer,Violento
respeto,Violento
valer snada,Violento
basca,Violento
porqueria,Violento
mierda,Violento
bastardo asqueroso,Violento
maldito amatare,Violento
familia,Violento
ir violar,Violento
ir alejartar familia,Violento
dilar adio,Violento
amigo,Violento
amiga,Violento
dar lastima,Violento
odio,Violento
peor,Violento
peor,Violento
ir demandar,Violento
poder ganarmar,Violento
mejor,Violento
mejor nadie,Violento
suerte,Violento
dame contrasena,Violento
damar contar,Violento
dejar ahbalar,Violento
callate,Violento
callate,Violento
callado ver mejor amor,Violento
dejar ladrar perro,Violento
dejamer paz perra,Violento
odio vida conocer,Violento
odio especia,Violento
cansar amor,Violento
querer vivir,Violento
amar,Violento
querer,Violento
si comer dejar querer,Violento
complacemer,Violento
ordeno,Violento
bastar aburrir,Violento
dejar hablar porfavor,Violento
odio,Violento
amar odio demaciado,Violento
amar aguantar,Violento
mandamer foto terminar,Violento
mandamer foto terminar,Violento
siempre joderlar,Violento
amigo tinee mas grande,Violento
salir amiga,Violento
querer,Violento
servir,Violento
odio nunca piedo,Violento
respeto peor persona mundo,Violento
odio demasiado,Violento
arta,Violento
poder mas,Violento
terminar culpa,Violento
engalar mejor amigo,Violento
engane,Violento
manipular hacer querer,Violento
odio,Violento
dame amare,Violento
necesitar controlar,Violento
odio maldito rata,Violento
maldito rata,Violento
querer amir si puta,Violento
salir lastima,Violento
nunca amir,Violento
hablar lastima,Violento
suerte,Violento
odio,Violento
coger amigo gusto,Violento
cerrar puta boca,Violento
solo querer cogertir,Violento
dejar amiguito,Violento
ir salir asi vestido,Violento
cansado celo,Violento
ropa parecer prostituta,Violento
si dejar encontrar nadie gustar,Violento
novia pena,Violento
ir amigo,Violento
elegir si basura,Violento
elegir si horrible,Violento
elegir si feo,Violento
elegir si negro,Violento
elegir si feo,Violento
elegir si asqueroso,Violento
conocido,Violento
espantoso,Violento
monstruo feo,Violento
feo,Violento
feo,Violento
morir,Violento
desapar,Violento
chuparmela mientras grabar,Violento
ir grabar si hacer,Violento
dejar hacer querer gustar,Violento
perdedor,Violento
perdedora,Violento
tremendo puta,Violento
culpa dar ataque ansiedad maldito perra,Violento
si querer comprar teclado ordenador chuparmela mientras grabar,Violento
pensar dejar haber consecuencia,Violento
si dejar publicar video coger,Violento
siempre hacer mal,Violento
pene pequeno,Violento
micro miembro,Violento
dar lastima cosito,Violento
gordo,Violento
bajo peso gordo,Violento
odio gordo,Violento
asqueroso gordo,Violento
puta gordo,Violento
cuerpo quein querer gordo,Violento
maldito puta,Violento
cara vergo,Violento
estupido,Violento
idiota,Violento
inutil,Violento
pendejo,Violento
mama verga,Violento
chucha madre,Violento
cono madre,Violento
hijo re mil puta,Violento
gil,Violento
tonto,Violento
dar asco,Violento
concha madre,Violento
concha lora,Violento
putito,Violento
mama huevo,Violento
poder puta,Violento
maldito perra,Violento
atreverse él hacer permiso,Violento
dar permiso,Violento
di permiso puta,Violento
querer vida,Violento
perra odio,Violento
maldito perra,Violento
maldicion hacer amir,Violento
hacer dejar querer,Violento
odiar verdad,Violento
querer,Violento
ama,Violento
querer etar,Violento
basurilla,Violento
perrita asqueroso,Violento
amar mas,Violento
andar,Violento
aburrido,Violento
aburrir relacion,Violento
querer ams,Violento
necesitar mas,Violento
dame,Violento
aburrir,Violento
aburrir,Violento
aburrir bien,Violento
aburrido,Violento
odio,Violento
gustar ver,Violento
arreglater mejor,Violento
acuerdate,Violento
necesitar ayuda,Violento
mate reira,Violento
matar sentir feliz,Violento
ir matar,Violento
ir cortar,Violento
ir terminar si hacer,Violento
ir terminar poder,Violento
peor persona mundo,Violento
querer,No violento
lindo,No violento
amar,No violento
gustar,No violento
encantar,No violento
muak,No violento
mando besito,No violento
querer abrazar,No violento
querer besartar,No violento
querer salir,No violento
poder ser novia,No violento
atractivo,No violento
romantico,No violento
parecer osito,No violento
ir mandar flor,No violento
corazon,No violento
pensar dia,No violento
ver sonreir,No violento
pensar sonreir,No violento
ultimo pensar dormir,No violento
despertar pensar,No violento
despertar imaginar lado,No violento
hacer feliz,No violento
hacer bien,No violento
hacer sentar comodo,No violento
hacer amir mismo,No violento
gustar sonrisa,No violento
gustar escuchar reír,No violento
gustar ponertar nervioso,No violento
gustar poner nervioso,No violento
querer cuidar,No violento
querer proteger,No violento
feliz,No violento
parecer detener tiempo,No violento
tierno,No violento
querer tontito,No violento
amar tontito,No violento
amar tontito,No violento
querer tontito,No violento
adorar bb,No violento
bomboncito chocolate,No violento
hola,No violento
amor,No violento
sentir,No violento
hacer,No violento
ir tarea,No violento
bb,No violento
bb,No violento
bombon,No violento
bellota,No violento
princesa,No violento
principe,No violento
rey,No violento
amor,No violento
beber,No violento
bb,No violento
amorcito,No violento
amar,No violento
amor d emi vida coraozn,No violento
corazon,No violento
muack,No violento
besito,No violento
salir trabajo,No violento
amar corazon,No violento
ma jajaja si hicistir completo,No violento
ir avisar entonces,No violento
mandar domingo lunes tarde,No violento
gustar decir corazon foto mando,No violento
mando uwu,No violento
corazon,No violento
muak muak muak,No violento
encantar amor hermoso,No violento
tener ser viernes,No violento
poder miamor,No violento
pues ver abrazamar,No violento
querer flor,No violento
papi,No violento
amar amorcito amar bonito,No violento
encantar,No violento
dormar 9,No violento
bonito amor,No violento
dar cuenta haber colgar,No violento
mirar mepusieton foto perfil,No violento
pasar amor mio,No violento
ver ir comer,No violento
jajaja lokito miamor,No violento
holar amor,No violento
luego laver diente,No violento
descansar papi,No violento
ir cocinar,No violento
siempre escuchar,No violento
pues si,No violento
verdad esperar,No violento
tarde,No violento
perder vida,No violento
mejor vida miamor,No violento
sueno bonito,No violento
weno noche,No violento
amar miamor,No violento
esperar decir buen noche dorir,No violento
cocinar,No violento
irme,No violento
alguien mas,No violento
princesa si decir,No violento
ensenar video,No violento
sentir nando cerdo,No violento
dejar termino rapido,No violento
sueno,No violento
terminar tarea,No violento
esperamar,No violento
dolio corazon,No violento
ir amor,No violento
cosa amor,No violento
cada dia mas enamorado,No violento
sonaste carino mio,No violento
compensar tratar bonito,No violento
decir bombon corazon,No violento
tas desperta bb,No violento
aunque querer ser grosero,No violento
amar mas miamor,No violento
amar,No violento
pobrecito papi,No violento
llamar whatsapp vida hrrmoso,No violento
llamar whatsapp vida hermoso,No violento
server gris,No violento
pasar miamor,No violento
asi saludo,No violento
obvio llorar,No violento
limpiar cocina,No violento
hacer tarea amor,No violento
solo si querer,No violento
gracias amor,No violento
pasar corazon,No violento
amar mas miamor,No violento
ir lavar plato,No violento
gracias foto amor,No violento
mirar buen tip,No violento
salir reconectar,No violento
video verdad encanto,No violento
mas miamor,No violento
ir dormir perdon,No violento
enviar,No violento
aunque maquillar,No violento
holar amor,No violento
dormir,No violento
gustar carita hermoso,No violento
porke gustar,No violento
gustar,No violento
ver vez,No violento
ayer creer mandar corazon,No violento
mano,No violento
amar mas amor hermoso,No violento
tar acostar dormir,No violento
acabar matar dos pulga tener perro,No violento
apagar computadora,No violento
hijo puta picar,No violento
querer hacer tiempo,No violento
estudiar,No violento
ir pasear perro,No violento
entender adiccion,No violento
porke cansado,No violento
cansado,No violento
ver nino entender,No violento
pasar vez miamor,No violento
pontela bien,No violento
conocer bien amor,No violento
ir ocupado,No violento
cuidate,No violento
gustar hablar,No violento
provecho,No violento
luego orina,No violento
si ir llevar,No violento
dar comer hermano,No violento
miedoso,No violento
pues cuidala,No violento
pues llevar madre correr,No violento
ir,No violento
hacer carrera,No violento
gustar,No violento
osear dar miedo,No violento
alejar casa,No violento
llegar mejor voltear atra,No violento
ver suponer si venir madre,No violento
si papi,No violento
asi amar miamor,No violento
poquito,No violento
asi poder sacar perro,No violento
poder dejar solo,No violento
porke enfermo,No violento
hermano aqui,No violento
asi cuidar,No violento
pues pedir desayuno,No violento
asi sacar perro,No violento
ir llevar gris,No violento
pontela bien,No violento
pues ir reve tapar sol,No violento
amor poner gorra,No violento
amar miamor,No violento
verdad,No violento
pasar,No violento
amor amar mas,No violento
mas menos sabio,No violento
ayudar,No violento
esque tener grabar audio,No violento
ahora despertar porke hermano llorar,No violento
solo mandar porke dar risa,No violento
mas menos sabio,No violento
ayudar,No violento
amor enserio estudiar,No violento
miedo avena molido,No violento
avena,No violento
desayuno,No violento
pues hacer batir banano leche avena,No violento
cocina huevo,No violento
asi ahora querer desayunar,No violento
tambien querer ultener vez sentir ir,No violento
estudiar,No violento
dormir papi,No violento
cierto amor,No violento
ir borrar,No violento
amar papi,No violento
cara,No violento
gustar cara hacer miamor,No violento
reír,No violento
amar demasiado,No violento
porke censura carita hermoso miamor,No violento
querer papi,No violento
amar nina encantar,No violento
saque perro,No violento
mentiroso si anillo,No violento
holi amor llegar,No violento
extrano mcuhoooo,No violento
extrano,No violento
ahora si ir estudiar,No violento
amor querer pegar tiro,No violento
entender,No violento
ver grupo ver decir examen,No violento
pues ver,No violento
clase ver pelicula,No violento
amor amar demasiado,No violento
si suspender poder suspender tercero trimestre,No violento
estudiar examen,No violento
amor hoy poder hacer,No violento
salir temprano,No violento
si querer ver,No violento
buen pelicula visto,No violento
pues miamor,No violento
solo creer sabio dormar,No violento
querer ver,No violento
escuchar decir entonces,No violento
loco,No violento
porke dormir temprano,No violento
porke dormistir 1,No violento
golpear,No violento
pasar amor,No violento
papi,No violento
ir lavar plato,No violento
saque perro,No violento
ir lavar plato estudiar examen manano,No violento
ir recoger hermano,No violento
amar corazon,No violento
si amar miamor,No violento
suerte papi,No violento
suerte amor,No violento
suerte beber,No violento
suerte,No violento
gracias amor,No violento
gracias beber,No violento
gracias corazon,No violento
gracias,No violento
ir amar,No violento
sip explicar,No violento
encantar escuchar dormir bb,No violento
explicar despue,No violento
limpio computadora amor,No violento
amor mas romantico hecho alguien,No violento
entrar clase,No violento
esperar tar pensar,No violento
ir hacer codigo,No violento
forma cielo,No violento
tambien poder poner codigo,No violento
hablar whatsapp,No violento
pues poner esperar amor,No violento
decir casado amor,No violento
decir querer dejar,No violento
dejar llevar,No violento
union libre parecer,No violento
referir malinterpretar palabra,No violento
prometer amor,No violento
intentar volver pasar nina,No violento
gustar mandar,No violento
tas enojado borrar,No violento
borrar,No violento
bonito veeee,No violento
ver miamor,No violento
amore querer ver,No violento
ir banar corazon,No violento
ir banarme,No violento
entrar ir decir amoo,No violento
saque bosque,No violento
seguir ser mejor amigo,No violento
creer haber mimido,No violento
entonces quedar,No violento
ir dormir,No violento
querer dormir,No violento
ayer dormar porke cantar,No violento
entonces escuchar mas,No violento
creer preparar salir,No violento
mejor cantar cancion,No violento
poder mover doler,No violento
creer descansar,No violento
trabajar aca creer,No violento
letra cancion,No violento
cuanto vuelta hicistir,No violento
si trabajar descansar bien,No violento
cuidar favor,No violento
aaaa doler espalda,No violento
pierna pedo,No violento
come come,No violento
dormido,No violento
soner voz,No violento
dar cuenta suen,No violento
verdad pensar,No violento
recordar suen,No violento
dijistir alguien,No violento
sonado ninguno persona,No violento
reciente,No violento
sonaste reciente,No violento
tar cuidado favor,No violento
tamtoy cansado talvez solo cargar troncobien,No violento
ir cerruchar,No violento
hacer rato ver,No violento
tal vez enfermito,No violento
pasar,No violento
querer,No violento
sacar hacer rato,No violento
alborotado salir,No violento
tal vez solo querer,No violento
carino,No violento
asi querer tambien,No violento
pues mismo c,No violento
dos querer,No violento
cuidar,No violento
referir preocupar,No violento
ojo robar palabra boca,No violento
ver mensaje dejar abierto whatsapp celular,No violento
jugar joven,No violento
trabajar,No violento
ahora decir adio,No violento
cancion,No violento
hacer nino,No violento
querer jugar,No violento
comer dulce,No violento
acabar romper diata,No violento
buen gomita,No violento
pasar dulce,No violento
tambien gustar,No violento
esque divertir juego jugar,No violento
si,No violento
gustar,No violento
ver mejor persona,No violento
cuidate,No violento
pobre gallinita,No violento
aun quedar tiempo vivir,No violento
morir si hacer,No violento
favor tar cuidado,No violento
holi terminar,No violento
solo,No violento
come,No violento
solo nina hermoso,No violento
ir morir amor,No violento
encantar,No violento
buen nina hermoso lunes regresar escuela,No violento
ayudar poder nino,No violento
fiesta,No violento
hablar novio,No violento
decir querer carino,No violento
cocina quemer,No violento
ahora si tarde comer,No violento
poder enfermar,No violento
poder enfermar nino,No violento
anemia,No violento
amar gordito hermoso,No violento
preguntar pregunta,No violento
pesera,No violento
meter pes,No violento
dar dinero,No violento
poder amigo asi,No violento
encontrar llave asi,No violento
tambien dos arma,No violento
si querer alguno dar probar,No violento
si pues,No violento
gustar miedo,No violento
ver fuerte,No violento
buen explicar,No violento
poder descansar descansar,No violento
nunca ir pijamado,No violento
padre dejar,No violento
pobrecito nino,No violento
miamor hermoso precioso,No violento
manana bb,No violento
descansar,No violento
tomar agua,No violento
amar,No violento
manano amor,No violento
descansar lindo hermoso,No violento
pobrecito amor,No violento
esperar descansar bien,No violento
preocupar,No violento
bane,No violento
si trabajar,No violento
amar,No violento
solo cuidate lastime,No violento
guapo cosita hermoso,No violento
pensar sueter sudadera,No violento
lindo,No violento
lindo,No violento
explicar porke despierto,No violento
invitar jugar,No violento
trabajar dia,No violento
dorir,No violento
verdad querer,No violento
solo querer descansar bien,No violento
wecir amor,No violento
ir intentar dormir mas,No violento
asi sentir exactamente,No violento
holi amor,No violento
dormir mas si querer amor,No violento
poder seguir dormir,No violento
hoy ir trabajar dia,No violento
sueno cansado,No violento
nop hoy tocar seguir cortar,No violento
hoy ir correr,No violento
cuidar favor,No violento
hoy comer 3 vez,No violento
ir pasar,No violento
mas valer,No violento
tener cuidado,No violento
holi holi aaa querer levantar,No violento
ir trabajar dia,No violento
querer jugar,No violento
creer lavar plato,No violento
poner trabajar,No violento
comer aun comida,No violento
perder tardar,No violento
mas tarde manana seguir ver,No violento
tarea,No violento
ir internet celular,No violento
tambien amar nino,No violento
toy adolorido cuerpo,No violento
ahora hacer mascarilla pelo,No violento
hacer dejar enfriar mientras balo,No violento
hermano quedar dormido suelo,No violento
cuidar tambien,No violento
quiquito,No violento
bombilla,No violento
loquito,No violento
come,No violento
escuela,No violento
trabajo,No violento
dinero,No violento
alimento,No violento
comida,No violento
salir,No violento
parque,No violento
jugar,No violento
comer,No violento
junto,No violento
porceder,No violento
hermoso,No violento
princesa,No violento
bonito ver,No violento
tenog dormir,No violento
manano trabajo,No violento
adorar bb,No violento
gracias nino hermoso,No violento
corazon ir explotar amor,No violento
alguno dia,No violento
primero ir poner,No violento
resultar,No violento
casa solo miamor,No violento
encantar,No violento
tostadito,No violento
pobrecito miamor,No violento
asi sentir mejor mano,No violento
acostar,No violento
tambien frio,No violento
encontrar haber comprar rosca,No violento
aunque frio,No violento
seguir enfermito bb,No violento
enferma,No violento
morir frio,No violento
comigo,No violento
ver comigo,No violento
hola,Violento
puta,Violento
punetero,Violento
